Gender,Education_Level,Income_Level,Urban_Rural,Profession,Dowry_Amount_Lakhs
Female,School,Middle,Urban,Doctor,31.9
Male,School,Low,Rural,Doctor,33.2
Female,Graduate,High,Rural,Farmer,7.16
Male,School,Middle,Rural,Teacher,5.89
Male,Graduate,Middle,Rural,Software Engineer,25.94
Female,Graduate,Low,Rural,Government Officer,18.2
Male,Graduate,High,Urban,Government Officer,19.1
Female,School,Low,Urban,Business Owner,15.15
Female,Graduate,Low,Urban,Farmer,9.01
Female,School,High,Urban,Doctor,32.8
Female,Graduate,High,Urban,Doctor,34.04
Female,Graduate,High,Rural,Doctor,33.8
Female,Postgraduate,Middle,Rural,Farmer,10.29
Female,Postgraduate,Low,Urban,Software Engineer,27.78
Female,Postgraduate,Middle,Urban,Doctor,15.99
Female,School,High,Urban,Business Owner,18.19
Female,School,Middle,Rural,Business Owner,8.87
Female,Graduate,High,Rural,Software Engineer,24.92
Male,Graduate,High,Rural,Farmer,4.52
Male,Graduate,Low,Rural,Doctor,22.2
Female,Graduate,Low,Rural,Teacher,6.84
Female,School,Low,Rural,Teacher,9.43
Female,Graduate,Middle,Urban,Government Officer,17.35
Female,Graduate,Low,Rural,Software Engineer,10.96
Female,Postgraduate,High,Urban,Teacher,13.3
Female,Graduate,Low,Urban,Government Officer,23.1
Female,Graduate,Middle,Rural,Business Owner,17.45
Female,Graduate,Low,Rural,Government Officer,23.02
Male,School,Low,Rural,Doctor,30.02
Female,Postgraduate,Low,Rural,Doctor,33.75
Male,Graduate,Middle,Rural,Business Owner,14.92
Female,Graduate,High,Rural,Software Engineer,21.65
Female,Postgraduate,High,Rural,Farmer,10.74
Male,Graduate,High,Rural,Doctor,21.99
Female,School,Low,Urban,Doctor,16.0
Male,Graduate,Low,Urban,Government Officer,21.75
Female,School,Middle,Rural,Government Officer,15.31
Female,School,High,Urban,Government Officer,18.17
Male,Graduate,Low,Rural,Teacher,7.4
Female,Postgraduate,Low,Urban,Business Owner,17.93
Male,School,Low,Urban,Software Engineer,29.17
Female,Postgraduate,Middle,Rural,Government Officer,12.72
Male,Graduate,High,Rural,Software Engineer,14.67
Male,School,Middle,Rural,Government Officer,14.46
Female,Graduate,High,Urban,Doctor,28.46
Female,Postgraduate,High,Urban,Software Engineer,18.57
Male,Graduate,Low,Rural,Teacher,9.56
Female,Graduate,Low,Urban,Government Officer,14.04
Female,School,Low,Rural,Farmer,6.73
Female,Graduate,Low,Urban,Business Owner,11.64
Male,Graduate,Low,Rural,Doctor,27.22
Male,Graduate,High,Urban,Government Officer,14.82
Male,School,Low,Rural,Software Engineer,22.3
Male,Postgraduate,Low,Rural,Government Officer,16.91
Male,Postgraduate,Middle,Rural,Doctor,21.93
Male,Graduate,Middle,Urban,Business Owner,11.67
Male,School,High,Rural,Business Owner,16.09
Male,Graduate,High,Urban,Business Owner,14.75
Male,Postgraduate,Middle,Rural,Farmer,10.67
Female,School,Middle,Rural,Doctor,19.83
Male,Postgraduate,Low,Rural,Farmer,3.36
Female,Postgraduate,Low,Urban,Farmer,4.64
Female,School,High,Urban,Government Officer,16.46
Female,School,Middle,Urban,Doctor,18.59
Male,Graduate,High,Rural,Doctor,16.67
Male,Graduate,Low,Urban,Government Officer,17.79
Male,Postgraduate,High,Rural,Teacher,11.77
Male,School,High,Rural,Farmer,9.76
Female,School,High,Rural,Business Owner,12.78
Male,Graduate,Low,Rural,Software Engineer,19.56
Male,Postgraduate,High,Rural,Farmer,9.8
Male,Postgraduate,Low,Urban,Software Engineer,17.05
Male,Graduate,Middle,Urban,Government Officer,22.2
Male,School,High,Rural,Software Engineer,29.35
Female,Graduate,High,Rural,Teacher,13.8
Male,Graduate,Low,Urban,Doctor,24.07
Female,Graduate,High,Rural,Business Owner,14.95
Male,Graduate,Low,Rural,Software Engineer,24.33
Female,School,High,Rural,Software Engineer,16.99
Male,Graduate,Middle,Rural,Government Officer,22.39
Male,School,Middle,Urban,Government Officer,17.68
Female,Graduate,Middle,Rural,Doctor,31.94
Female,Postgraduate,High,Urban,Business Owner,11.06
Female,School,High,Urban,Software Engineer,10.23
Male,Postgraduate,Middle,Urban,Doctor,27.65
Female,Graduate,Middle,Urban,Business Owner,13.42
Male,Graduate,Low,Rural,Doctor,16.2
Male,Graduate,Low,Rural,Software Engineer,19.75
Female,School,Middle,Rural,Government Officer,14.19
Female,Postgraduate,Middle,Urban,Government Officer,20.19
Male,School,High,Urban,Government Officer,17.79
Male,School,Middle,Urban,Teacher,6.71
Female,Graduate,Low,Rural,Doctor,23.24
Female,Postgraduate,Low,Rural,Software Engineer,14.65
Female,Graduate,Low,Rural,Doctor,28.06
Male,School,Low,Urban,Government Officer,15.84
Male,Graduate,Low,Urban,Farmer,10.4
Male,Postgraduate,Low,Rural,Farmer,3.13
Male,Graduate,Middle,Urban,Doctor,23.07
Male,Postgraduate,Low,Urban,Business Owner,15.4
Male,Postgraduate,Low,Rural,Farmer,3.2
Female,Graduate,Low,Urban,Farmer,4.94
Male,School,Low,Urban,Doctor,21.55
Male,Graduate,Middle,Rural,Teacher,5.22
Male,School,High,Urban,Teacher,10.47
Female,School,High,Urban,Government Officer,20.2
Male,Graduate,High,Urban,Software Engineer,14.55
Male,School,High,Urban,Business Owner,14.52
Female,School,Low,Rural,Software Engineer,29.98
Male,Graduate,High,Rural,Software Engineer,27.74
Male,Graduate,High,Urban,Business Owner,8.7
Male,Graduate,Middle,Rural,Teacher,6.28
Male,School,Middle,Rural,Farmer,7.45
Male,Postgraduate,Middle,Rural,Government Officer,15.19
Female,School,Low,Urban,Doctor,16.62
Female,Postgraduate,Low,Urban,Teacher,7.55
Female,Graduate,Low,Rural,Government Officer,12.8
Male,Postgraduate,Middle,Rural,Farmer,7.77
Male,Graduate,High,Rural,Teacher,9.9
Male,Graduate,Middle,Rural,Business Owner,8.08
Female,Postgraduate,Low,Urban,Software Engineer,19.65
Male,Graduate,Middle,Rural,Business Owner,14.24
Male,Postgraduate,High,Urban,Farmer,8.45
Female,Graduate,Low,Urban,Doctor,34.4
Male,School,High,Urban,Business Owner,19.79
Female,School,High,Urban,Farmer,7.74
Female,Graduate,Low,Urban,Software Engineer,26.9
Female,Graduate,High,Urban,Teacher,5.85
Male,Postgraduate,Middle,Urban,Government Officer,18.91
Male,School,High,Rural,Farmer,9.11
Male,Postgraduate,High,Urban,Farmer,8.08
Male,Graduate,High,Rural,Doctor,19.61
Male,Graduate,Middle,Rural,Teacher,5.63
Male,Postgraduate,High,Rural,Farmer,6.48
Male,Graduate,High,Rural,Farmer,8.83
Female,School,Middle,Rural,Government Officer,24.89
Male,Postgraduate,Low,Urban,Software Engineer,14.73
Female,School,Low,Urban,Business Owner,19.01
Male,School,Low,Rural,Teacher,5.68
Male,School,High,Rural,Government Officer,24.1
Male,Postgraduate,Low,Rural,Government Officer,22.82
Female,Graduate,Middle,Urban,Business Owner,8.25
Female,School,High,Rural,Teacher,7.98
Female,School,High,Urban,Teacher,5.51
Female,School,High,Urban,Software Engineer,29.91
Male,Graduate,Low,Rural,Teacher,9.28
Female,Graduate,Low,Urban,Farmer,8.96
Male,Postgraduate,Low,Urban,Business Owner,10.81
Male,Graduate,High,Urban,Teacher,14.34
Female,Postgraduate,Middle,Rural,Software Engineer,15.48
Female,Postgraduate,High,Rural,Government Officer,15.38
Female,Postgraduate,Middle,Rural,Farmer,5.83
Female,Postgraduate,High,Rural,Teacher,9.62
Female,Postgraduate,Middle,Rural,Business Owner,8.22
Female,School,High,Rural,Teacher,10.98
Female,Graduate,High,Rural,Doctor,15.63
Female,School,Middle,Rural,Software Engineer,20.78
Male,Postgraduate,Middle,Urban,Government Officer,17.95
Female,Graduate,Middle,Rural,Doctor,19.85
Female,School,Middle,Urban,Business Owner,11.96
Male,School,Middle,Urban,Teacher,12.06
Female,Postgraduate,Middle,Rural,Software Engineer,10.19
Male,School,Middle,Urban,Farmer,5.85
Male,School,Middle,Urban,Teacher,11.8
Female,School,High,Rural,Teacher,6.52
Male,School,Middle,Urban,Teacher,10.6
Male,School,Middle,Rural,Farmer,4.52
Male,Postgraduate,High,Urban,Teacher,6.55
Male,Postgraduate,High,Urban,Software Engineer,25.45
Female,School,Low,Rural,Farmer,5.4
Male,Postgraduate,Low,Urban,Farmer,6.38
Female,Postgraduate,Middle,Urban,Doctor,29.6
Male,Graduate,Middle,Rural,Business Owner,10.15
Male,School,Low,Rural,Farmer,7.79
Male,Postgraduate,Low,Urban,Doctor,33.36
Male,Postgraduate,Middle,Urban,Software Engineer,21.08
Female,School,Low,Rural,Business Owner,8.59
Female,Graduate,Middle,Urban,Farmer,8.31
Male,School,High,Rural,Government Officer,13.17
Male,Graduate,High,Rural,Doctor,20.64
Female,School,Low,Rural,Software Engineer,26.99
Male,School,High,Urban,Software Engineer,10.22
Male,School,High,Urban,Software Engineer,11.54
Male,School,High,Urban,Business Owner,12.36
Female,Graduate,High,Rural,Teacher,14.99
Female,Graduate,Middle,Urban,Government Officer,15.79
Female,Postgraduate,Middle,Rural,Business Owner,9.89
Male,School,Low,Urban,Business Owner,14.59
Male,Graduate,High,Rural,Farmer,7.67
Female,Graduate,High,Rural,Doctor,23.99
Female,Graduate,High,Urban,Government Officer,24.31
Female,School,Low,Rural,Software Engineer,15.6
Female,Postgraduate,Middle,Urban,Business Owner,11.52
Male,Graduate,High,Urban,Government Officer,13.82
Female,School,Middle,Urban,Doctor,28.95
Male,Graduate,Low,Urban,Teacher,8.21
Female,Graduate,Middle,Urban,Government Officer,22.44
Male,Postgraduate,High,Rural,Software Engineer,29.44
Female,Graduate,Middle,Urban,Business Owner,8.52
Female,Graduate,Middle,Rural,Teacher,14.93
Female,School,Low,Urban,Doctor,20.08
Female,School,Low,Rural,Software Engineer,18.4
Male,Postgraduate,Low,Rural,Teacher,12.78
Female,School,Low,Urban,Farmer,8.99
Male,School,Middle,Rural,Farmer,10.01
Male,Postgraduate,Middle,Urban,Doctor,24.33
Male,Graduate,Low,Urban,Software Engineer,28.32
Male,Postgraduate,Low,Urban,Business Owner,17.48
Female,School,High,Rural,Doctor,21.18
Male,Postgraduate,High,Rural,Teacher,14.48
Male,Graduate,Low,Rural,Software Engineer,29.22
Male,Postgraduate,Middle,Rural,Farmer,6.74
Female,School,Low,Urban,Farmer,8.87
Female,School,Middle,Urban,Government Officer,22.59
Female,Postgraduate,Middle,Rural,Software Engineer,26.35
Female,Graduate,High,Rural,Teacher,5.14
Male,Postgraduate,Low,Urban,Teacher,11.29
Male,Graduate,Low,Rural,Government Officer,24.66
Female,Graduate,Middle,Urban,Teacher,7.31
Male,Postgraduate,Low,Rural,Software Engineer,25.91
Male,Graduate,High,Rural,Farmer,7.81
Male,School,High,Rural,Doctor,19.43
Female,Postgraduate,Low,Urban,Farmer,3.46
Female,Graduate,Low,Urban,Farmer,9.84
Male,School,High,Rural,Software Engineer,16.33
Female,Postgraduate,Low,Rural,Teacher,8.76
Female,School,Middle,Rural,Government Officer,18.31
Female,School,Low,Rural,Government Officer,18.59
Female,School,Middle,Rural,Business Owner,10.47
Female,Graduate,Low,Rural,Government Officer,20.72
Male,Postgraduate,Low,Rural,Government Officer,21.0
Female,Postgraduate,High,Rural,Teacher,6.42
Male,Graduate,Middle,Urban,Doctor,25.66
Male,Postgraduate,High,Urban,Doctor,27.19
Female,School,Low,Urban,Teacher,6.86
Male,Postgraduate,High,Urban,Government Officer,23.63
Male,Graduate,Low,Rural,Software Engineer,19.66
Male,School,Low,Urban,Farmer,4.04
Female,Graduate,Low,Urban,Farmer,6.01
Female,School,Middle,Rural,Doctor,24.54
Male,School,Middle,Urban,Teacher,5.1
Female,Postgraduate,Middle,Urban,Software Engineer,10.64
Female,School,High,Urban,Government Officer,12.72
Female,Graduate,Low,Urban,Teacher,10.38
Female,Postgraduate,High,Urban,Doctor,21.72
Male,Graduate,High,Rural,Software Engineer,27.86
Male,School,Low,Rural,Software Engineer,21.18
Female,Graduate,High,Rural,Doctor,30.2
Female,Graduate,Low,Urban,Software Engineer,23.74
Male,School,Low,Urban,Farmer,7.68
Male,Postgraduate,Low,Urban,Doctor,29.89
Female,Graduate,Low,Rural,Farmer,7.9
Male,School,High,Urban,Teacher,8.85
Female,Postgraduate,High,Urban,Business Owner,13.23
Female,Postgraduate,High,Urban,Government Officer,22.9
Male,Postgraduate,Middle,Urban,Teacher,10.63
Male,Graduate,High,Rural,Farmer,6.4
Female,Graduate,High,Rural,Government Officer,14.34
Female,Graduate,Middle,Urban,Government Officer,18.44
Male,Postgraduate,Low,Rural,Farmer,5.27
Female,Graduate,Low,Rural,Farmer,11.6
Male,School,Low,Rural,Doctor,24.82
Female,Graduate,Middle,Urban,Business Owner,8.11
Male,Graduate,High,Rural,Farmer,3.84
Male,Postgraduate,High,Rural,Government Officer,15.7
Male,Graduate,High,Urban,Government Officer,13.2
Female,School,High,Rural,Teacher,13.94
Female,Postgraduate,Middle,Rural,Business Owner,18.25
Male,School,High,Rural,Business Owner,19.65
Female,Postgraduate,Low,Urban,Government Officer,21.18
Male,Postgraduate,Middle,Urban,Business Owner,15.75
Male,Graduate,Middle,Rural,Teacher,14.23
Female,School,Low,Urban,Doctor,33.93
Female,Postgraduate,Low,Urban,Government Officer,23.41
Male,Graduate,High,Urban,Software Engineer,27.23
Female,Postgraduate,Low,Rural,Government Officer,20.73
Female,Postgraduate,Middle,Rural,Government Officer,12.02
Male,Postgraduate,Middle,Urban,Doctor,23.59
Male,Postgraduate,Middle,Rural,Farmer,8.72
Female,Postgraduate,High,Urban,Farmer,7.92
Male,Postgraduate,High,Urban,Software Engineer,26.42
Male,Graduate,Low,Rural,Software Engineer,26.38
Female,Postgraduate,High,Urban,Software Engineer,21.97
Male,School,High,Urban,Farmer,3.2
Male,Graduate,Middle,Urban,Doctor,22.39
Female,School,Middle,Urban,Business Owner,10.75
Female,Postgraduate,Low,Rural,Software Engineer,16.78
Male,School,Middle,Urban,Business Owner,15.41
Male,Postgraduate,High,Rural,Teacher,5.66
Female,Postgraduate,Low,Urban,Doctor,15.44
Female,Graduate,Low,Rural,Business Owner,13.24
Female,Graduate,Middle,Urban,Farmer,10.14
Female,Postgraduate,Middle,Urban,Farmer,3.28
Male,Graduate,Middle,Rural,Software Engineer,26.98
Female,School,Low,Rural,Software Engineer,17.68
Female,Graduate,Middle,Urban,Business Owner,9.42
Male,Graduate,High,Urban,Farmer,8.11
Female,School,Low,Urban,Business Owner,19.43
Male,Graduate,Middle,Urban,Teacher,10.43
Female,Postgraduate,High,Urban,Doctor,28.73
Female,School,High,Rural,Farmer,10.35
Female,Postgraduate,Middle,Rural,Government Officer,22.39
Male,School,High,Urban,Farmer,3.66
Male,Postgraduate,Low,Rural,Teacher,12.41
Female,Postgraduate,Low,Rural,Farmer,11.55
Male,Graduate,High,Urban,Teacher,12.01
Male,Postgraduate,Low,Rural,Farmer,10.53
Male,Graduate,Middle,Urban,Teacher,9.86
Male,School,High,Rural,Software Engineer,16.38
Male,Postgraduate,Low,Rural,Business Owner,16.11
Male,Postgraduate,Middle,Rural,Farmer,7.43
Female,School,Middle,Rural,Doctor,32.91
Female,School,Low,Rural,Software Engineer,29.49
Male,Postgraduate,High,Urban,Teacher,13.2
Female,School,Middle,Rural,Doctor,34.85
Female,Graduate,Middle,Urban,Software Engineer,16.97
Female,School,Middle,Rural,Government Officer,23.64
Female,School,Middle,Rural,Farmer,5.97
Male,Postgraduate,High,Rural,Farmer,4.06
Female,Graduate,Low,Urban,Teacher,11.21
Female,School,Low,Rural,Software Engineer,19.1
Male,Graduate,Low,Rural,Software Engineer,28.43
Male,Graduate,Middle,Urban,Teacher,9.92
Female,Graduate,High,Urban,Government Officer,24.06
Female,Postgraduate,Low,Urban,Farmer,3.71
Female,School,High,Rural,Business Owner,17.97
Female,Postgraduate,Low,Rural,Government Officer,21.87
Female,School,Middle,Rural,Teacher,12.2
Female,School,Low,Rural,Business Owner,12.26
Male,Postgraduate,Middle,Urban,Software Engineer,25.68
Female,Graduate,Middle,Urban,Government Officer,18.28
Female,Graduate,Low,Rural,Government Officer,21.3
Male,School,High,Urban,Farmer,7.97
Male,Postgraduate,Middle,Urban,Farmer,4.42
Male,Graduate,High,Urban,Business Owner,8.77
Male,Graduate,Low,Rural,Software Engineer,17.32
Female,School,Middle,Urban,Government Officer,24.13
Female,School,High,Rural,Business Owner,14.36
Female,Postgraduate,Middle,Rural,Government Officer,22.43
Female,School,Low,Rural,Farmer,8.18
Female,Graduate,Middle,Urban,Software Engineer,29.16
Female,Graduate,Low,Urban,Software Engineer,17.39
Male,Graduate,High,Urban,Doctor,16.14
Female,Graduate,Middle,Urban,Business Owner,17.37
Male,Postgraduate,High,Rural,Farmer,9.35
Male,Postgraduate,Low,Rural,Farmer,7.75
Female,School,Low,Rural,Farmer,5.94
Male,School,High,Urban,Teacher,6.88
Female,School,High,Urban,Government Officer,18.27
Male,Postgraduate,Low,Urban,Software Engineer,23.32
Female,Graduate,High,Rural,Government Officer,19.53
Male,School,Low,Rural,Government Officer,17.69
Female,Graduate,High,Urban,Teacher,10.4
Female,School,Low,Rural,Software Engineer,12.16
Female,School,Low,Rural,Doctor,28.92
Female,School,Middle,Urban,Farmer,9.61
Female,School,Low,Urban,Business Owner,8.14
Male,School,Low,Rural,Government Officer,15.52
Male,Graduate,Middle,Urban,Teacher,5.92
Male,School,Middle,Rural,Teacher,14.98
Female,Graduate,High,Urban,Business Owner,15.12
Male,Postgraduate,High,Rural,Business Owner,13.59
Female,School,Low,Urban,Software Engineer,19.26
Female,Graduate,High,Urban,Government Officer,24.54
Male,Postgraduate,High,Urban,Government Officer,20.58
Male,Postgraduate,Low,Rural,Business Owner,10.02
Female,Postgraduate,Middle,Rural,Farmer,7.03
Male,Graduate,Middle,Urban,Doctor,30.48
Female,School,Low,Rural,Government Officer,17.5
Female,School,Low,Rural,Teacher,8.1
Female,Graduate,Low,Urban,Farmer,11.92
Female,School,Low,Urban,Business Owner,19.23
Female,Graduate,Low,Urban,Government Officer,24.24
Male,School,Low,Rural,Software Engineer,12.63
Male,Postgraduate,High,Urban,Business Owner,10.81
Female,School,High,Rural,Teacher,9.42
Female,Graduate,High,Rural,Software Engineer,26.64
Male,Graduate,Middle,Rural,Business Owner,16.84
Male,Postgraduate,Low,Urban,Business Owner,18.2
Female,Graduate,Low,Urban,Government Officer,23.97
Male,School,High,Rural,Software Engineer,25.62
Female,School,Middle,Rural,Business Owner,11.14
Male,Postgraduate,High,Urban,Farmer,5.57
Female,Graduate,Low,Urban,Teacher,8.52
Male,Postgraduate,Low,Urban,Software Engineer,16.06
Female,School,High,Urban,Farmer,5.24
Male,Postgraduate,High,Urban,Government Officer,21.78
Male,Graduate,Low,Urban,Doctor,15.68
Female,Postgraduate,High,Urban,Business Owner,16.74
Male,Graduate,Low,Urban,Doctor,31.47
Female,Graduate,High,Urban,Business Owner,8.79
Male,School,Middle,Rural,Farmer,3.56
Female,School,Low,Urban,Government Officer,15.71
Male,School,Middle,Urban,Government Officer,14.71
Female,Graduate,High,Rural,Government Officer,19.55
Male,Postgraduate,Middle,Urban,Government Officer,20.78
Female,Graduate,High,Urban,Software Engineer,22.68
Male,School,Middle,Rural,Software Engineer,17.15
Female,School,Middle,Urban,Business Owner,13.98
Female,Postgraduate,Middle,Rural,Software Engineer,22.8
Female,School,Low,Rural,Business Owner,9.43
Male,School,Middle,Urban,Software Engineer,14.59
Female,School,High,Rural,Software Engineer,27.81
Male,Postgraduate,High,Rural,Software Engineer,16.85
Female,Graduate,Low,Rural,Teacher,13.01
Male,School,Low,Rural,Government Officer,15.26
Female,Postgraduate,High,Urban,Teacher,5.42
Male,School,Middle,Rural,Software Engineer,20.01
Male,Postgraduate,High,Rural,Software Engineer,27.85
Female,School,Low,Urban,Teacher,13.19
Male,Postgraduate,Low,Rural,Farmer,5.28
Male,School,High,Urban,Business Owner,18.92
Female,Graduate,Middle,Rural,Government Officer,18.24
Male,School,Middle,Urban,Business Owner,8.59
Male,Postgraduate,Low,Rural,Farmer,3.25
Male,School,High,Urban,Government Officer,18.31
Female,Graduate,High,Rural,Doctor,25.93
Male,School,Low,Urban,Government Officer,13.04
Female,Postgraduate,High,Urban,Business Owner,19.07
Male,Postgraduate,Low,Urban,Government Officer,21.34
Male,Graduate,Middle,Urban,Doctor,31.03
Male,Postgraduate,Middle,Urban,Doctor,26.68
Female,School,High,Rural,Software Engineer,23.27
Male,School,Middle,Rural,Doctor,22.76
Male,School,Middle,Urban,Teacher,11.79
Female,Postgraduate,Low,Urban,Business Owner,19.74
Male,School,Low,Rural,Teacher,11.48
Female,School,High,Rural,Farmer,6.07
Female,School,Low,Urban,Teacher,7.85
Male,Graduate,High,Rural,Business Owner,19.56
Female,Postgraduate,High,Urban,Farmer,4.67
Male,Postgraduate,Low,Urban,Teacher,13.06
Female,Postgraduate,Middle,Urban,Teacher,9.65
Female,Graduate,Middle,Rural,Farmer,6.99
Male,Postgraduate,Middle,Urban,Teacher,12.48
Female,Graduate,Middle,Rural,Doctor,17.96
Female,Graduate,High,Rural,Business Owner,13.6
Female,Postgraduate,Middle,Rural,Business Owner,8.43
Female,School,High,Rural,Business Owner,16.04
Female,School,Low,Urban,Teacher,5.58
Male,Postgraduate,Low,Urban,Doctor,16.75
Female,Postgraduate,High,Rural,Business Owner,18.14
Male,Graduate,Middle,Urban,Government Officer,17.76
Female,Postgraduate,High,Rural,Business Owner,10.41
Male,Graduate,Middle,Urban,Software Engineer,21.85
Male,Postgraduate,Middle,Urban,Government Officer,18.75
Female,School,High,Urban,Business Owner,12.93
Female,School,High,Urban,Teacher,14.05
Female,Postgraduate,Middle,Urban,Business Owner,16.99
Male,Graduate,High,Urban,Doctor,18.03
Female,School,Middle,Rural,Doctor,26.42
Male,Graduate,High,Urban,Business Owner,9.06
Male,Postgraduate,Low,Urban,Teacher,7.45
Male,Postgraduate,Middle,Urban,Teacher,14.1
Female,School,Low,Rural,Teacher,9.62
Female,Postgraduate,High,Urban,Business Owner,18.71
Male,School,Low,Urban,Business Owner,9.99
Male,Graduate,High,Urban,Software Engineer,14.11
Female,School,Middle,Rural,Doctor,22.06
Male,School,High,Urban,Government Officer,16.76
Female,Graduate,High,Rural,Government Officer,21.69
Male,School,Middle,Rural,Doctor,26.99
Female,School,High,Urban,Farmer,7.98
Male,Postgraduate,Middle,Urban,Software Engineer,22.05
Female,Graduate,High,Rural,Doctor,29.64
Male,School,Middle,Rural,Software Engineer,27.86
Female,Graduate,Low,Urban,Farmer,6.73
Female,Graduate,High,Urban,Software Engineer,26.06
Male,School,High,Rural,Teacher,9.95
Male,Postgraduate,High,Rural,Doctor,29.44
Female,Graduate,Middle,Rural,Government Officer,23.37
Male,School,High,Rural,Business Owner,8.39
Female,Graduate,Middle,Urban,Farmer,7.92
Male,Postgraduate,High,Rural,Farmer,11.9
Female,Postgraduate,Low,Urban,Business Owner,13.95
Female,Postgraduate,High,Rural,Doctor,32.29
Female,School,Low,Rural,Business Owner,10.23
Female,School,Middle,Urban,Software Engineer,22.09
Female,Postgraduate,Low,Urban,Business Owner,18.44
Female,School,High,Urban,Software Engineer,18.63
Male,Postgraduate,High,Urban,Software Engineer,19.73
Male,School,Middle,Rural,Government Officer,13.07
Male,Postgraduate,High,Urban,Business Owner,8.51
Female,Graduate,High,Urban,Government Officer,18.09
Female,Postgraduate,Middle,Urban,Business Owner,18.12
Female,Postgraduate,Middle,Rural,Software Engineer,28.63
Female,School,Low,Rural,Business Owner,15.9
Male,School,Middle,Urban,Farmer,10.44
Male,School,High,Rural,Farmer,9.61
Female,School,Middle,Rural,Government Officer,21.12
Male,School,High,Urban,Teacher,12.69
Male,School,Low,Rural,Farmer,7.55
Female,Graduate,Middle,Urban,Government Officer,17.95
